Range,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
0,0,1248,1248,0.0,0.0,0.0
1,1242,2,6,0.9984,0.9952,0.9968
2,1243,1,5,0.9992,0.996,0.9976
