Range,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
0,1286,93,39,0.9326,0.9706,0.9512
1,1294,85,31,0.9384,0.9766,0.9571
2,1298,81,27,0.9413,0.9796,0.9601
