Range,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
0,841,500,474,0.6271,0.6395,0.6333
1,877,464,438,0.654,0.6669,0.6604
2,1290,46,25,0.9656,0.981,0.9732
