filename,phase,selected_attempt,attempts_run,BlockDetection.P,BlockDetection.Recall,BlockDetection.F1-Score,BlockDetection.HitRate,LineDetection.P,LineDetection.Recall,LineDetection.F1-Score,LineDetection.Accuracy
buggy_1.sol,warmup,1,1,0.8611111111111112,0.62,0.7209302325581396,0.8611111111111112,0.8387096774193549,1.0,0.9122807017543859,0.9758454106280193
buggy_2.sol,warmup,1,1,0.723404255319149,0.5964912280701754,0.6538461538461539,0.723404255319149,0.7,1.0,0.8235294117647058,0.9510204081632653
buggy_3.sol,warmup,1,1,0.8554216867469879,0.5725806451612904,0.6859903381642511,0.8554216867469879,0.8285714285714286,1.0,0.90625,0.9769230769230769
buggy_4.sol,warmup,1,1,0.6138613861386139,0.62,0.6169154228855721,0.6138613861386139,0.5319148936170213,0.9615384615384616,0.684931506849315,0.8959276018099548
buggy_5.sol,warmup,1,1,0.7591240875912408,0.52,0.6172106824925816,0.7591240875912408,0.6949152542372882,0.9111111111111111,0.7884615384615385,0.9515418502202643
buggy_6.sol,eval,1,1,0.981651376146789,0.5631578947368421,0.7157190635451506,0.981651376146789,0.8723404255319149,0.9318181818181818,0.9010989010989012,0.9746478873239437
buggy_7.sol,eval,1,1,0.9539473684210527,0.725,0.8238636363636364,0.9539473684210527,0.6376811594202898,0.9777777777777777,0.7719298245614036,0.9295392953929539
buggy_8.sol,eval,1,1,0.6870748299319728,0.505,0.5821325648414986,0.6870748299319728,0.640625,0.9111111111111111,0.7522935779816514,0.9405286343612335
buggy_9.sol,eval,1,1,0.8080808080808081,0.5405405405405406,0.6477732793522267,0.8080808080808081,0.8,1.0,0.888888888888889,0.9800498753117207
buggy_10.sol,eval,1,1,1.0,0.5454545454545454,0.7058823529411764,1.0,1.0,1.0,1.0,1.0
buggy_11.sol,eval,1,1,0.912,0.6,0.7238095238095238,0.912,0.7049180327868853,0.9772727272727273,0.8190476190476191,0.9509043927648578
buggy_12.sol,eval,1,1,0.8819444444444444,0.5772727272727273,0.6978021978021978,0.8819444444444444,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.953757225433526
buggy_13.sol,eval,1,1,0.6666666666666666,0.6304347826086957,0.6480446927374302,0.6666666666666666,0.5641025641025641,0.9565217391304348,0.7096774193548387,0.9296875
buggy_14.sol,eval,1,1,0.7884615384615384,0.640625,0.7068965517241379,0.7884615384615384,0.5416666666666666,0.8666666666666667,0.6666666666666667,0.917981072555205
buggy_15.sol,eval,1,1,0.6265060240963856,0.5652173913043478,0.5942857142857142,0.6265060240963856,0.5428571428571428,0.8260869565217391,0.6551724137931034,0.921875
buggy_16.sol,eval,1,1,0.8597560975609756,0.5423076923076923,0.6650943396226415,0.8597560975609756,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.9689922480620154
buggy_17.sol,eval,1,1,0.762962962962963,0.5421052631578948,0.6338461538461538,0.762962962962963,0.6721311475409836,0.9318181818181818,0.780952380952381,0.9423558897243107
buggy_18.sol,eval,1,1,0.75,0.4921875,0.5943396226415094,0.75,0.6986301369863014,0.85,0.7669172932330827,0.9537313432835821
buggy_19.sol,eval,1,1,1.0,0.5229885057471264,0.6867924528301886,1.0,0.918918918918919,0.8947368421052632,0.9066666666666667,0.9823232323232324
buggy_20.sol,eval,1,1,1.0,0.49,0.6577181208053691,1.0,1.0,0.9333333333333333,0.9655172413793104,0.994140625
buggy_21.sol,eval,1,1,0.8198198198198198,0.5352941176470588,0.6476868327402134,0.8198198198198198,0.8222222222222222,1.0,0.9024390243902439,0.9847036328871893
buggy_22.sol,eval,1,1,0.8068965517241379,0.508695652173913,0.6239999999999999,0.8068965517241379,0.7966101694915254,0.9038461538461539,0.8468468468468469,0.9724473257698542
buggy_23.sol,eval,1,1,0.7857142857142857,0.5301204819277109,0.6330935251798562,0.7857142857142857,0.782608695652174,1.0,0.878048780487805,0.9814814814814815
buggy_24.sol,eval,1,1,0.9038461538461539,0.5423076923076923,0.6778846153846153,0.9038461538461539,0.7236842105263158,0.9166666666666666,0.8088235294117647,0.974180734856008
buggy_25.sol,eval,1,1,0.8936170212765957,0.6774193548387096,0.7706422018348622,0.8936170212765957,0.7105263157894737,0.9310344827586207,0.8059701492537312,0.9598765432098766
buggy_26.sol,eval,1,1,0.9146341463414634,0.5597014925373134,0.6944444444444443,0.9146341463414634,0.8529411764705882,0.9666666666666667,0.90625,0.9789473684210527
buggy_27.sol,eval,1,1,1.0,0.5384615384615384,0.7000000000000001,1.0,1.0,1.0,1.0,1.0
buggy_28.sol,eval,1,1,0.7209302325581395,0.510989010989011,0.5980707395498392,0.7209302325581395,0.7115384615384616,0.9024390243902439,0.7956989247311829,0.9501312335958005
buggy_29.sol,eval,1,1,0.75,0.49038461538461536,0.5930232558139534,0.75,0.7241379310344828,0.7777777777777778,0.75,0.9666666666666667
buggy_30.sol,eval,1,1,0.9117647058823529,0.5961538461538461,0.7209302325581395,0.9117647058823529,0.8194444444444444,0.9833333333333333,0.893939393939394,0.9856410256410256
buggy_31.sol,eval,1,1,1.0,0.5714285714285714,0.7272727272727273,1.0,1.0,0.9523809523809523,0.975609756097561,0.9967320261437909
buggy_32.sol,eval,1,1,0.8255813953488372,0.5725806451612904,0.6761904761904762,0.8255813953488372,0.7777777777777778,0.9655172413793104,0.8615384615384615,0.9672727272727273
buggy_33.sol,eval,1,1,0.7798165137614679,0.5448717948717948,0.6415094339622641,0.7798165137614679,0.723404255319149,0.9714285714285714,0.8292682926829269,0.9515570934256056
buggy_34.sol,eval,1,1,0.7848101265822784,0.5391304347826087,0.6391752577319587,0.7848101265822784,0.7727272727272727,0.9807692307692307,0.864406779661017,0.9764359351988218
buggy_35.sol,eval,1,1,0.7727272727272727,0.5509259259259259,0.6432432432432433,0.7727272727272727,0.7424242424242424,0.98,0.8448275862068965,0.9682539682539683
buggy_36.sol,eval,1,1,0.7806451612903226,0.5260869565217391,0.6285714285714286,0.7806451612903226,0.8095238095238095,0.9807692307692307,0.8869565217391304,0.9789303079416531
buggy_37.sol,eval,1,1,0.8723404255319149,0.5694444444444444,0.6890756302521008,0.8723404255319149,0.819672131147541,1.0,0.9009009009009009,0.9752808988764045
buggy_38.sol,eval,1,1,0.7007299270072993,0.5274725274725275,0.6018808777429467,0.7007299270072993,0.6666666666666666,0.975609756097561,0.7920792079207921,0.9448818897637795
buggy_39.sol,eval,1,1,0.8043478260869565,0.578125,0.6727272727272727,0.8043478260869565,0.75,1.0,0.8571428571428571,0.9583333333333334
buggy_40.sol,eval,1,1,0.8229166666666666,0.5337837837837838,0.6475409836065574,0.8229166666666666,0.8157894736842105,0.96875,0.8857142857142857,0.9870340356564019
buggy_41.sol,eval,1,1,0.6097560975609756,0.5434782608695652,0.5747126436781609,0.6097560975609756,0.5,0.782608695652174,0.6101694915254238,0.9115384615384615
buggy_42.sol,eval,1,1,0.7846153846153846,0.6538461538461539,0.7132867132867133,0.7846153846153846,0.5396825396825397,0.9714285714285714,0.6938775510204082,0.8958333333333334
buggy_43.sol,eval,1,1,1.0,0.5439560439560439,0.704626334519573,1.0,1.0,1.0,1.0,1.0
buggy_44.sol,eval,1,1,0.9619047619047619,0.531578947368421,0.6847457627118644,0.9619047619047619,0.9555555555555556,0.9772727272727273,0.9662921348314608,0.9939024390243902
buggy_45.sol,eval,1,1,0.926829268292683,0.6551724137931034,0.7676767676767676,0.926829268292683,0.7755102040816326,1.0,0.8735632183908045,0.9670658682634731
buggy_46.sol,eval,1,1,0.9523809523809523,0.5,0.6557377049180327,0.9523809523809523,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9881656804733728
buggy_47.sol,eval,1,1,0.8734177215189873,0.5307692307692308,0.6602870813397128,0.8734177215189873,0.8507462686567164,0.95,0.8976377952755905,0.973305954825462
buggy_48.sol,eval,1,1,0.8412698412698413,0.53,0.6503067484662578,0.8412698412698413,0.8113207547169812,0.9555555555555556,0.8775510204081634,0.9724770642201835
buggy_49.sol,eval,1,1,0.7551020408163265,0.578125,0.6548672566371682,0.7551020408163265,0.7142857142857143,1.0,0.8333333333333333,0.95
buggy_50.sol,eval,1,1,0.9361702127659575,0.5641025641025641,0.7040000000000001,0.9361702127659575,0.875,1.0,0.9333333333333333,0.9848942598187311
